cluster_id,priority,type,head_kw,total_volume,target_url,page_exists,serp_top_domain,serp_top_url,serp_features,paa_count,related_count,avg_word_count,max_word_count,avg_h2_count,max_h2_count,avg_faq_count,max_faq_count,schemas_observed,has_pricing,has_distance,fetch_failures,recommended_word_target,recommended_h2_target,recommended_faq_target,needs_manual
city-coimbatore,P1,A,taxi coimbatore,30500,/taxi-service-in-coimbatore,yes,www.redtaxi.co.in,https://www.redtaxi.co.in/coimbatore-cab-booking,local_pack|organic|people_also_ask|related_searches,4,16,1397,1536,24,60,2,7,Organization|Product|LocalBusiness|Service|BreadcrumbList|FAQPage,2,1,0,1746,30,8,
city-chennai,P1,A,drop taxi chennai,13200,/drop-taxi-in-chennai,yes,www.droptaxi.in,https://www.droptaxi.in/,organic|local_pack|discussions_and_forums|related_searches,0,16,1256,1633,8,15,0,0,corporation|SoftwareApplication,1,3,0,1570,10,8,
route-bangalore-mysore,P1,B,bangalore to mysore taxi booking,11000,/route/bangalore-to-mysore-taxi,yes,www.makemytrip.com,https://www.makemytrip.com/car-rental/bangalore-mysore-cab-services.html,ai_overview|organic|people_also_search|related_searches,0,16,1542,1765,44,60,6,11,BreadcrumbList|Product|FAQPage,1,1,1,1928,55,11,
route-bangalore-coorg,P1,B,bangalore to coorg taxi,6500,/route/bangalore-to-coorg-taxi,yes,quickride.in,https://quickride.in/bangalore-to-coorg-cabs.php,ai_overview|organic|people_also_ask|related_searches,4,16,1120,1120,27,27,0,0,,1,1,2,1500,34,8,PARTIAL — review SERP top results manually
route-cochin-munnar,P1,B,kochi to munnar taxi,6200,/route/kochi-to-munnar-taxi,yes,www.makemytrip.com,https://www.makemytrip.com/car-rental/cochin-munnar-cab-services.html,ai_overview|organic|people_also_search|people_also_ask|related_searches,4,16,2446,3163,36,60,6,11,BreadcrumbList|Product|FAQPage,0,1,1,3058,45,11,
route-madurai-rameshwaram,P1,B,cabs from madurai to rameshwaram,5900,/route/madurai-to-rameswaram-taxi,yes,www.makemytrip.com,https://www.makemytrip.com/car-rental/madurai-rameshwaram-cab-services.html,ai_overview|organic|people_also_search|people_also_ask|related_searches,4,16,659,659,4,4,0,0,corporation,0,1,2,1500,8,8,PARTIAL — review SERP top results manually
route-chennai-bangalore,P1,B,chennai to bangalore taxi,3160,/route/chennai-to-bangalore-taxi,yes,www.makemytrip.com,https://www.makemytrip.com/car-rental/chennai-bangalore-cab-services.html,organic|related_searches,0,16,1721,1721,60,60,11,11,BreadcrumbList|Product|FAQPage,1,0,2,2151,75,11,PARTIAL — review SERP top results manually
route-chennai-pondicherry,P1,B,chennai pondicherry cab,5140,/route/chennai-to-pondicherry-taxi,yes,www.makemytrip.com,https://www.makemytrip.com/car-rental/chennai-pondicherry-cab-services.html,ai_overview|organic|people_also_ask|related_searches|knowledge_graph|google_reviews,4,16,1334,2001,33,61,6,11,corporation|BreadcrumbList|Product|FAQPage,1,1,1,1668,41,11,
route-coimbatore-ooty,P1,B,coimbatore to ooty cab,4800,/route/coimbatore-to-ooty-taxi,yes,www.makemytrip.com,https://www.makemytrip.com/car-rental/coimbatore-ooty-cab-services.html,ai_overview|organic|people_also_ask|related_searches,4,16,28,28,0,0,7,7,FAQPage|Product,0,0,2,1500,8,8,PARTIAL — review SERP top results manually
route-salem-yercaud,P1,B,salem to yercaud distance,19950,/route/salem-to-yercaud-taxi,yes,www.makemytrip.com,https://www.makemytrip.com/routeplanner/salem-yercaud.html,people_also_ask|organic|images|related_searches,4,16,1758,1758,60,60,11,11,BreadcrumbList|Product|FAQPage,1,0,2,2198,75,11,PARTIAL — review SERP top results manually
info-tirupati-arunachalam,P1,C,tirupati to arunachalam distance,52560,/blog/tirupati-to-arunachalam-distance-by-road,no,tirupatibalajitourstravels.com,https://tirupatibalajitourstravels.com/tirupati-to-arunachalam-distance/,ai_overview|organic|people_also_ask|images|related_searches,4,16,2072,2072,14,14,0,0,,0,0,2,2590,18,8,PARTIAL — review SERP top results manually
info-chennai-airport-cmc-vellore,P1,C,chennai airport to vellore cmc distance,2350,/blog/chennai-airport-to-cmc-vellore-distance-taxi-guide,no,www.rome2rio.com,https://www.rome2rio.com/s/Madras-Airport-MAA/Christian-Medical-College-Vellore,people_also_ask|organic|related_searches,4,16,1063,1307,1,1,0,0,WebSite|WebPage,0,2,1,1500,8,8,
hub-one-way-taxi,P1,D,one way drop taxi,64930,/one-way-taxi,yes,onewaydroptaxi.com,https://onewaydroptaxi.com/?srsltid=AfmBOooGyFZ6EkY1fOYkzj8qTh9oCHpChsR8fuomSyFLc1WkvKSN5a-n,organic|local_pack|related_searches,0,16,1076,1633,7,15,0,0,corporation|Organization,1,2,0,1500,9,8,
tourist-chennai,P1,E,tourist places to visit in chennai,75000,/blog/best-tourist-places-in-chennai,no,www.tripadvisor.in,https://www.tripadvisor.in/Attractions-g304556-Activities-Chennai_Madras_Chennai_District_Tamil_Nadu.html,top_sights|organic|people_also_ask|discussions_and_forums|related_searches,4,16,4346,4820,49,97,0,0,,0,1,1,5433,61,8,
